metric,value
net_debt,1031.0
avg_equity,132815.0
lam,0.006929229114859869
residual,29888.0
pct_residual,0.22503482287392237
wd_book,0.3806
wd_market,0.05471941606319406
wd_gap,0.3258805839368059
s_actual,0.007356805044666308
s_expected,0.087
mm_gap,0.07964319495533369
theta,0.029411764705882353
gamma,0.0033887738583744304
mu,1.0
psi,0.009414612791844853

lam_shock,equity_fcff,equity_fcfe,pct_residual
0.0,148790.0,116640.01816736304,0.2422482736098466
0.025,145070.25,114178.27867666991,0.23831935695849593
0.05,141350.5,111818.30361732024,0.23330043797433617
0.075,137630.74999999997,109553.91060253025,0.22717299147148068
0.1,133911.0,107379.40809483381,0.21991418651617964
0.125,130191.25,105289.54764056584,0.21149667071744613
0.15,126471.5,103279.48157564936,0.20188830763897544
0.175,122751.75,101344.72548522014,0.19105186253758566
0.2,119032.00000000003,99481.12480517056,0.17894463055490425
0.225,115312.24999999997,97684.82504208611,0.16551800023010507
0.25,111592.49999999997,95952.24516233426,0.15071694371671465
0.275,107872.75,94280.05376369559,0.13447942331973248
0.3,104153.00000000003,92665.14769590613,0.11673570185045341
0.325,100433.25000000003,91104.63284142682,0.09740754173727939
0.35,96713.50000000003,89595.8068060046,0.07640727471984801
0.375,92993.75,88136.14330122917,0.05363672014858818
0.4,89274.0,86723.27802922111,0.028985925229541215
0.425,85554.25,85354.99590355161,0.0023316947587591194
0.45,81834.50000000003,84029.21946110837,0.026464129325436427
0.475,78114.75,82743.9983374,0.05755668728305889
0.5,74395.0,81497.49969315706,0.09112047990938502
0.525,70675.24999999997,80287.99949340339,0.1273521804235337
0.55,66955.50000000003,79113.87455173183,0.1664739729192966
0.575,63235.75000000003,77973.59526258198,0.2087375341224986
0.6,59516.0,76865.718953092,0.2544288059466295
